id,discount,duration,price
5451742.0,20.0,3.0,24.0
5451743.0,35.0,6.0,39.0
5960238.0,25.0,3.0,22.48
739061.0,15.0,3.0,12.72
3771711.0,20.0,6.0,23.95
8564862.0,10.0,3.0,26.97
8564863.0,30.0,6.0,41.96
10267892.0,30.0,3.0,42.0
10267893.0,40.0,6.0,72.0
7691757.0,35.0,6.0,38.96
1652207.0,40.0,3.0,11.68
115681.0,45.0,6.0,21.42
636047.0,20.0,3.0,60.0
2310538.0,25.0,6.0,112.5
9376735.0,30.0,3.0,42.0
9376736.0,40.0,6.0,72.0
588441.0,20.0,6.0,42.72
9547823.0,25.0,3.0,29.23
9547825.0,35.0,6.0,50.66
2562290.0,15.0,3.0,76.5
2562292.0,35.0,6.0,117.0
3610335.0,15.0,3.0,25.47
3610341.0,20.0,6.0,47.95
219335.0,20.0,3.0,23.98
7060546.0,15.0,3.0,38.25
7060547.0,25.0,6.0,67.5
9322565.0,20.0,3.0,21.6
9322568.0,35.0,6.0,35.1
10267898.0,30.0,3.0,42.0
10267899.0,40.0,6.0,72.0
6258184.0,30.0,3.0,21.0
6258178.0,40.0,6.0,36.0
2890261.0,10.0,3.0,32.4
2890263.0,10.0,6.0,64.8
8442010.0,15.0,3.0,12.75
5788084.0,15.0,3.0,30.6
5788085.0,20.0,6.0,57.6
700604.0,20.0,3.0,40.78
700607.0,25.0,6.0,76.46
6841684.0,10.0,3.0,13.5
8833776.0,25.0,6.0,22.5
8416213.0,40.0,6.0,36.0
9153679.0,25.0,3.0,33.75
9153680.0,35.0,6.0,58.5
4882781.0,20.0,3.0,38.38
3186604.0,10.0,3.0,26.97
3186608.0,15.0,6.0,50.95
10546796.0,25.0,6.0,31.46
5451742.0,20.0,3.0,24.0
5451743.0,35.0,6.0,39.0
5738653.0,5.0,3.0,71.25
5877202.0,5.0,3.0,56.97
5877203.0,10.0,6.0,107.95
1206133.0,10.0,3.0,56.7
84061.0,20.0,3.0,48.0
84064.0,30.0,6.0,84.0
4176024.0,20.0,3.0,21.58
5431814.0,30.0,6.0,37.76
8028661.0,20.0,3.0,24.0
10231483.0,15.0,3.0,25.47
10231484.0,25.0,6.0,44.96
3469060.0,15.0,3.0,25.47
3469062.0,20.0,6.0,47.95
5728035.0,40.0,3.0,27.0
4401292.0,30.0,3.0,42.0
4400676.0,45.0,6.0,66.0
50141.0,15.0,3.0,76.5
4338138.0,10.0,3.0,40.5
4338139.0,15.0,6.0,76.5
3197985.0,20.0,3.0,38.38
5780295.0,10.0,3.0,27.0
5780296.0,10.0,6.0,54.0
2538110.0,10.0,3.0,43.17
2360323.0,25.0,6.0,71.96
6161102.0,10.0,3.0,27.0
6161104.0,10.0,6.0,54.0
10299894.0,35.0,3.0,29.23
10299892.0,45.0,6.0,49.47
4634075.0,10.0,3.0,29.67
5517942.0,20.0,6.0,52.75
7059812.0,25.0,3.0,29.23
7059813.0,35.0,6.0,50.66
10480991.0,0.0,3.0,45.0
10480058.0,0.0,6.0,90.0
6399868.0,10.0,3.0,26.97
6399869.0,25.0,6.0,44.96
5386221.0,20.0,3.0,36.0
366940.0,15.0,3.0,38.25
366941.0,20.0,6.0,72.0
2806148.0,20.0,3.0,23.98
9773553.0,25.0,3.0,27.0
9773552.0,35.0,6.0,46.8
8066798.0,20.0,3.0,18.65
8066799.0,30.0,6.0,32.63
4109401.0,10.0,3.0,13.5
4109403.0,15.0,6.0,25.5
5564.0,35.0,3.0,19.5
5561.0,45.0,6.0,33.0
5690371.0,50.0,6.0,83.67
10627171.0,30.0,3.0,52.5
10627172.0,40.0,6.0,90.0
9788829.0,50.0,3.0,15.0
9788831.0,50.0,6.0,30.0
5451742.0,20.0,3.0,24.0
5451743.0,35.0,6.0,39.0
10437009.0,30.0,3.0,35.68
33008.0,5.0,3.0,57.0
33014.0,10.0,6.0,108.0
5505961.0,25.0,3.0,33.75
4462307.0,35.0,6.0,58.5
9430656.0,30.0,3.0,41.98
9138729.0,40.0,6.0,71.96
1401885.0,25.0,3.0,24.73
